Dataset Parameters,Mean Wait Time (FIFO),Wait Time Stdev (FIFO),Mean Wait Time (GP),Wait Time Stdev (GP),Mean Unload Time (FIFO),Unload Time Stdev (FIFO),Mean Unload Time (GP),Unload Time Stdev (GP),Mean Overtime (FIFO),Overtime Stdev (FIFO),Mean Overtime (GP),Overtime Stdev (GP)
"Trucks: 16, Peaks: [[14, 1], [9, 0.6]], Spread: 3, Seed: 471961",443.46,39.11,321.6,31.05,929.01,21.56,897.64,14.93,56.16,13.78,35.62,7.67
"Trucks: 20, Peaks: [[17, 1], [11, 0.6]], Spread: 3, Seed: 641138",1542.82,83.21,1143.33,46.06,1026.19,15.46,1012.89,15.07,1117.55,60.42,837.7,38.44
"Trucks: 12, Peaks: [[15, 1], [9, 0.6]], Spread: 4, Seed: 999483",1017.9,43.95,854.78,40.81,844.86,13.49,844.86,13.49,119.04,19.40,116.79,11.51
"Trucks: 16, Peaks: [[14, 1], [11, 0.6]], Spread: 4, Seed: 788804",611.13,65.86,348.44,45.66,896.72,14.82,880.23,15.52,77.66,21.39,45.13,9.20
"Trucks: 12, Peaks: [[15, 1], [10, 0.6]], Spread: 4, Seed: 567699",9.33,10.87,4.76,4.49,558.35,15.38,548.24,11.06,0.0,0.00,0.0,0.00
"Trucks: 12, Peaks: [[17, 1], [12, 0.6]], Spread: 4, Seed: 992714",186.74,31.60,177.46,28.15,517.4,15.32,522.15,12.73,170.17,26.32,165.75,21.33
"Trucks: 12, Peaks: [[15, 1], [10, 0.6]], Spread: 4, Seed: 254605",454.99,31.41,329.62,26.38,650.28,13.51,624.55,9.55,289.65,22.02,191.02,17.17
"Trucks: 16, Peaks: [[15, 1], [12, 0.6]], Spread: 4, Seed: 395276",859.74,87.13,638.79,39.79,814.36,19.79,818.71,12.41,571.91,63.40,450.01,31.80
"Trucks: 20, Peaks: [[15, 1], [11, 0.6]], Spread: 3, Seed: 730681",1525.21,159.69,1351.86,102.53,1151.69,22.71,1143.9,17.09,594.45,75.06,518.55,47.13
"Trucks: 12, Peaks: [[16, 1], [12, 0.6]], Spread: 4, Seed: 585952",219.65,27.44,191.7,24.35,634.68,16.78,599.25,11.94,18.73,7.58,20.24,7.00
"Trucks: 20, Peaks: [[15, 1], [10, 0.6]], Spread: 3, Seed: 396722",2970.75,112.97,2213.74,71.74,953.8,15.96,958.43,14.37,837.32,62.76,551.37,37.11
"Trucks: 12, Peaks: [[16, 1], [13, 0.6]], Spread: 4, Seed: 980667",190.8,31.04,153.68,18.65,599.75,27.15,599.46,11.32,118.93,19.06,101.53,8.78
"Trucks: 20, Peaks: [[17, 1], [13, 0.6]], Spread: 3, Seed: 900973",2073.48,80.91,1685.54,74.89,1160.58,13.33,1160.58,13.33,1197.3,59.39,876.2,45.42
"Trucks: 20, Peaks: [[17, 1], [11, 0.6]], Spread: 3, Seed: 450257",2205.43,94.71,1823.27,57.45,1100.34,14.48,1100.34,14.48,1541.64,72.91,1284.72,50.73
"Trucks: 16, Peaks: [[17, 1], [13, 0.6]], Spread: 4, Seed: 540634",620.16,51.52,569.22,27.52,751.27,13.01,678.31,13.33,412.27,31.55,332.38,20.78
"Trucks: 20, Peaks: [[14, 1], [9, 0.6]], Spread: 3, Seed: 549224",2123.24,86.80,1404.05,66.59,1143.52,19.28,1098.31,14.54,230.65,32.40,213.56,17.40
"Trucks: 16, Peaks: [[17, 1], [13, 0.6]], Spread: 4, Seed: 13257",1047.41,70.66,743.59,57.46,961.96,17.01,968.75,13.51,571.7,30.13,542.06,26.24
"Trucks: 16, Peaks: [[16, 1], [10, 0.6]], Spread: 4, Seed: 386231",286.18,33.00,215.97,28.29,697.5,22.34,671.45,13.94,123.02,17.00,65.48,10.50
"Trucks: 16, Peaks: [[14, 1], [12, 0.6]], Spread: 4, Seed: 514905",677.18,47.20,508.65,45.11,681.31,16.53,656.43,13.14,3.53,5.63,0.62,2.41
"Trucks: 20, Peaks: [[17, 1], [13, 0.6]], Spread: 4, Seed: 894348",548.02,50.48,401.05,39.56,1029.88,23.21,1038.78,14.45,396.46,37.05,316.4,20.92
"Trucks: 20, Peaks: [[15, 1], [12, 0.6]], Spread: 3, Seed: 235069",1995.97,102.10,1230.5,73.76,1009.26,17.50,960.49,13.50,546.14,64.27,312.39,29.21
"Trucks: 20, Peaks: [[14, 1], [9, 0.6]], Spread: 4, Seed: 923325",342.27,42.96,261.56,32.39,847.31,21.18,788.73,15.33,153.67,20.49,112.68,15.92
"Trucks: 16, Peaks: [[15, 1], [13, 0.6]], Spread: 4, Seed: 705409",2740.24,77.65,2119.37,77.31,1110.74,12.50,1088.9,13.44,1274.81,58.44,934.3,49.75
"Trucks: 20, Peaks: [[16, 1], [13, 0.6]], Spread: 4, Seed: 756756",1650.73,57.87,1142.42,60.14,1075.62,22.63,1025.12,14.00,1017.31,53.93,606.76,37.42
"Trucks: 16, Peaks: [[15, 1], [13, 0.6]], Spread: 4, Seed: 216094",1260.0,85.57,780.24,55.59,672.21,13.40,689.18,11.88,278.22,37.22,156.75,20.09
"Trucks: 16, Peaks: [[17, 1], [9, 0.6]], Spread: 4, Seed: 544469",351.03,33.60,293.26,28.40,710.77,15.55,708.38,16.98,234.59,22.17,210.89,21.93
"Trucks: 20, Peaks: [[15, 1], [9, 0.6]], Spread: 4, Seed: 601931",629.19,50.74,474.83,36.83,968.38,21.17,931.67,15.63,57.35,12.13,73.56,11.13
"Trucks: 20, Peaks: [[16, 1], [9, 0.6]], Spread: 4, Seed: 286173",1192.91,48.95,888.02,48.31,1090.84,16.67,1013.86,16.27,1143.66,48.01,861.62,40.51
"Trucks: 20, Peaks: [[14, 1], [11, 0.6]], Spread: 4, Seed: 910288",1610.29,114.04,979.93,84.01,945.32,17.39,986.11,14.76,294.76,37.44,137.56,22.32
"Trucks: 16, Peaks: [[16, 1], [11, 0.6]], Spread: 4, Seed: 560296",829.79,63.33,660.39,37.98,966.87,13.57,966.87,13.57,287.49,37.02,221.83,19.69
"Trucks: 20, Peaks: [[14, 1], [11, 0.6]], Spread: 4, Seed: 89590",1688.34,97.12,1433.29,65.92,1073.77,18.28,1099.4,17.56,425.79,54.29,313.58,30.73
"Trucks: 20, Peaks: [[16, 1], [11, 0.6]], Spread: 4, Seed: 558424",1013.99,91.12,854.61,81.01,983.63,16.62,983.88,14.67,492.7,47.30,429.45,40.15
"Trucks: 20, Peaks: [[17, 1], [10, 0.6]], Spread: 4, Seed: 252818",1068.58,49.04,870.13,51.33,989.21,18.95,943.5,16.36,12.22,7.69,7.32,4.52
"Trucks: 20, Peaks: [[17, 1], [9, 0.6]], Spread: 4, Seed: 92137",1421.16,75.11,1208.31,65.90,1181.33,15.63,1181.33,15.63,304.7,35.49,276.28,22.56
